"","LotFrontage","YearBuilt","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF","1stFlrSF","Neighborhood","School"
"139",90,2005,18261,9,2006,470000,1910,2000,"StoneBr","Northwood"
"140",88,2010,11394,6,2010,394432,1856,1856,"StoneBr","Northwood"
"141",124,2005,16158,6,2009,260000,1530,1530,"StoneBr","Northwood"
"142",NA,1950,47280,7,2008,133000,1488,1488,"Gilbert","Northwood"
"143",140,1951,19138,6,2010,141000,864,864,"Gilbert","Northwood"
"144",85,1977,11900,7,2009,185000,1122,946,"Gilbert","Northwood"
"145",91,1984,14145,5,2006,202500,1208,1621,"NWAmes","High"
"146",NA,1981,12546,4,2007,182900,1440,1440,"NWAmes","High"
"147",46,1986,20544,11,2008,215000,791,1236,"NWAmes","High"
"148",63,1988,12680,6,2008,226500,1675,1688,"NWAmes","High"
"149",NA,1984,10960,4,2007,174000,1284,1284,"NWAmes","High"
"150",94,1980,13005,8,2009,260000,845,1153,"NWAmes","High"
"151",78,1984,12090,1,2007,178000,585,1140,"NWAmes","High"
"152",78,1981,12090,6,2008,175500,1422,1422,"NWAmes","High"
"153",78,1981,12090,3,2007,176000,725,725,"NWAmes","High"
"154",NA,1983,10825,7,2008,181900,1260,1260,"NWAmes","High"
"155",NA,1988,13837,2,2006,229000,1204,1377,"NWAmes","High"
"156",93,1978,12299,9,2007,213000,1529,1664,"NWAmes","High"
"157",85,1978,13175,2,2010,210000,1542,2073,"NWAmes","High"
"158",48,1979,17043,1,2009,181000,1362,1586,"NWAmes","Fellows"
"159",56,1978,18559,8,2008,235000,2048,2064,"NWAmes","Fellows"
"160",85,1979,14450,3,2008,220000,1782,1782,"NWAmes","Fellows"
"161",NA,1977,12227,7,2008,272000,1330,1542,"NWAmes","Fellows"
"162",61,1979,11339,3,2007,192000,780,1085,"NWAmes","Fellows"
"163",92,1977,11952,11,2007,190000,808,1161,"NWAmes","Fellows"
"164",NA,1977,16659,3,2006,235000,795,1468,"NWAmes","Fellows"
"165",90,1976,13068,11,2008,161000,1211,1211,"NWAmes","Fellows"
"166",85,1977,11900,4,2009,82500,1386,1411,"NWAmes","Fellows"
"167",NA,1977,15611,3,2008,175000,1126,1126,"NWAmes","Fellows"
"168",NA,1977,16635,6,2009,215000,1602,1602,"NWAmes","Fellows"
"169",NA,1976,12046,6,2007,195000,848,1118,"NWAmes","Fellows"
"170",NA,1976,18800,7,2006,190000,796,790,"NWAmes","Fellows"
"171",NA,1980,10464,6,2006,169000,988,1102,"NWAmes","Fellows"
"172",NA,1978,10395,7,2007,148000,1032,1032,"NWAmes","Fellows"
"173",79,1984,11850,8,2007,151500,1153,1177,"NWAmes","Fellows"
"174",NA,1978,13250,5,2009,154000,832,1154,"NWAmes","High"
"175",80,1978,10928,8,2009,200000,1427,1671,"NWAmes","High"
"176",NA,1980,12388,8,2009,249000,1043,1539,"NWAmes","High"
"177",80,1979,11584,11,2007,197000,539,1040,"NWAmes","High"
"178",80,1988,10400,6,2006,241500,1845,1872,"NWAmes","Fellows"
"179",80,1979,10400,8,2007,192350,1259,1353,"NWAmes","Fellows"
"180",NA,1980,14115,6,2009,187500,1372,1472,"NWAmes","Fellows"
"181",80,1980,10400,3,2008,185000,738,1277,"NWAmes","Fellows"
"182",80,1978,11088,5,2009,184000,1140,1707,"NWAmes","High"
"183",81,1978,10530,7,2006,188900,945,945,"NWAmes","Fellows"
"184",80,1981,9600,7,2009,278000,2524,2524,"NWAmes","Fellows"
"185",79,1980,10240,5,2006,207500,1686,1686,"NWAmes","Fellows"
"186",80,1978,16692,7,2006,250000,1392,1392,"NWAmes","High"
"187",82,1978,11880,4,2009,157000,1271,1601,"NWAmes","High"
"188",80,1969,10793,4,2007,152000,780,780,"NWAmes","High"
"189",85,1975,11475,2,2006,179900,713,811,"NWAmes","High"
"190",128,1971,13001,9,2007,170000,1625,1220,"NWAmes","Fellows"
"191",75,1969,9743,6,2008,146900,720,720,"NWAmes","High"
"192",NA,1978,12511,12,2008,292500,1420,1420,"NWAmes","High"
"193",70,1971,12243,2,2007,175000,1484,1484,"NWAmes","Fellows"
"194",NA,1976,9927,7,2006,172000,1047,1083,"NWAmes","High"
"195",104,1976,11361,5,2008,180000,1193,1523,"NWAmes","Fellows"
"196",105,1977,11751,1,2010,190000,1844,1844,"NWAmes","Fellows"
"197",85,1974,10625,1,2010,170000,1053,1173,"NWAmes","High"
"198",90,1968,11700,6,2007,175000,702,1041,"NWAmes","High"
"199",80,1976,10400,4,2008,159900,1444,1444,"NWAmes","High"
"200",80,1976,10400,6,2009,152000,1090,1370,"NWAmes","Fellows"
"201",80,1976,10480,9,2008,205000,803,1098,"NWAmes","Fellows"
"202",NA,1976,12384,11,2007,197900,793,1142,"NWAmes","Fellows"
"203",64,1976,8991,2,2007,174000,1228,1324,"NWAmes","Fellows"
"204",NA,1976,10304,10,2009,197500,780,1088,"NWAmes","High"
"205",70,2003,7000,6,2009,240900,926,1016,"Somerst","High"
"206",75,2005,9512,6,2006,294323,960,960,"Somerst","High"
"207",75,2009,8004,12,2009,263435,832,832,"Somerst","High"
"208",NA,2000,7500,3,2009,220000,1058,1058,"Somerst","High"
"209",NA,2002,8470,10,2009,235000,972,972,"Somerst","High"
"210",NA,2000,7500,1,2010,216000,814,814,"Somerst","High"
"211",NA,1975,9373,6,2009,213000,1621,1621,"NWAmes","Fellows"
"212",81,1975,10530,6,2006,184500,675,1109,"NWAmes","Fellows"
"213",78,1974,10140,4,2009,167900,1116,1116,"NWAmes","Fellows"
"214",85,1975,11050,8,2009,158000,1176,1193,"NWAmes","Fellows"
"215",78,1975,10140,7,2006,153500,1056,1074,"NWAmes","Fellows"
"216",78,1974,10140,8,2009,165000,1064,1350,"NWAmes","Fellows"
"217",78,1976,10140,3,2006,162900,832,832,"NWAmes","Fellows"
"218",78,1974,10140,1,2006,181000,1040,1309,"NWAmes","Fellows"
"219",80,1974,8000,11,2007,178900,1084,1084,"NWAmes","Fellows"
"220",80,1974,10000,6,2006,155000,1103,1103,"NWAmes","Fellows"
"221",80,1973,10000,11,2008,157000,1176,1178,"NWAmes","Fellows"
"222",NA,1972,10448,8,2009,158000,689,1378,"NWAmes","Fellows"
"223",NA,1996,14311,6,2008,306000,1236,1236,"NWAmes","Fellows"
"224",60,1974,9000,6,2008,133000,896,896,"NAmes","Northwood"
"225",60,1974,9000,9,2009,136000,896,896,"NAmes","Northwood"
"226",65,1969,9750,7,2008,151000,1054,1054,"NAmes","Northwood"
"227",70,1971,10500,12,2007,139000,372,576,"NAmes","Northwood"
"228",68,1969,10295,9,2008,111900,936,936,"NAmes","Northwood"
"229",NA,1971,10530,3,2007,143250,981,981,"NAmes","Northwood"
"230",NA,1970,11241,3,2010,149000,1004,1004,"NAmes","Northwood"
"231",NA,1969,15870,3,2006,138800,1096,1096,"NAmes","Northwood"
"232",NA,1970,8750,8,2009,148500,1002,1002,"NAmes","Northwood"
"233",NA,1972,7472,6,2007,184000,725,725,"NAmes","Northwood"
"234",NA,1971,12537,4,2010,149900,1078,1078,"NAmes","Northwood"
"235",71,1970,9353,7,2006,116050,864,864,"NAmes","Northwood"
"236",65,1968,8450,7,2010,142000,1056,1056,"NAmes","Northwood"
"237",61,1969,7930,7,2009,156000,1026,1026,"NAmes","Northwood"
"238",NA,1971,8125,6,2006,88000,858,858,"NAmes","Northwood"
"239",63,1970,9457,9,2007,155000,925,1422,"NAmes","Fellows"
"240",63,1971,7560,5,2008,123000,864,864,"NAmes","Fellows"
"241",NA,1970,7830,3,2009,128000,1180,1180,"NAmes","Northwood"
"242",NA,1971,8510,7,2009,143000,1043,1050,"NAmes","Northwood"
"243",66,1970,7920,10,2007,133000,914,914,"NAmes","Northwood"
"244",61,1971,9758,7,2007,119500,950,950,"NAmes","Northwood"
"245",70,1970,8400,4,2010,126000,882,882,"NAmes","Northwood"
"246",70,1971,8294,6,2007,123000,858,872,"NAmes","Northwood"
"247",NA,1971,7340,6,2007,110000,858,858,"NAmes","Northwood"
"248",60,1971,7200,3,2006,97500,864,874,"NAmes","Northwood"
"249",60,1970,7038,9,2009,76500,864,864,"NAmes","Northwood"
"250",60,1970,6960,11,2009,120500,864,864,"NAmes","Northwood"
"251",70,1970,8120,7,2009,124500,864,864,"NAmes","Northwood"
"252",NA,1961,17199,7,2007,128000,914,914,"NAmes","Northwood"
"253",NA,1972,12735,4,2008,111250,864,864,"NAmes","Northwood"
"254",70,1971,10500,3,2009,97000,864,864,"NAmes","Northwood"
"255",70,1971,10500,4,2010,115000,864,864,"NAmes","Northwood"
"256",60,1971,9000,7,2009,130000,864,864,"NAmes","Northwood"
"257",60,1971,9000,5,2007,120500,864,864,"NAmes","Northwood"
"258",34,1998,4058,6,2007,133000,723,767,"NAmes","Northwood"
"259",34,1998,4060,8,2008,181000,1405,1337,"NAmes","Northwood"
"260",33,2001,4113,7,2007,155000,1337,1337,"NAmes","Northwood"
"261",26,1997,10943,10,2007,177000,1405,1337,"NAmes","Northwood"
"262",26,2002,8773,9,2006,190000,1487,1419,"NAmes","Northwood"
"263",26,1999,5858,6,2010,184000,1405,1337,"NAmes","Northwood"
"264",24,1973,2760,12,2006,105500,525,525,"BrDale","Fellows"
"265",21,1973,2205,2,2007,113500,525,525,"BrDale","Fellows"
"266",24,1973,2160,6,2006,125500,765,765,"BrDale","Fellows"
"267",21,1973,1680,2,2008,103400,483,483,"BrDale","Fellows"
"268",21,1973,1890,5,2007,113000,672,672,"BrDale","Fellows"
"269",21,1973,1953,6,2006,83000,483,483,"BrDale","Northwood"
"270",21,1973,2058,12,2007,113700,672,672,"BrDale","Northwood"
"271",21,1973,1680,11,2008,100000,483,483,"BrDale","Northwood"
"272",21,1973,1680,7,2009,111000,483,483,"BrDale","Northwood"
"273",21,1972,1890,7,2006,116000,494,494,"BrDale","Northwood"
"274",21,1972,1890,4,2008,100500,483,483,"BrDale","Northwood"
"275",24,1970,2016,4,2007,106000,630,630,"BrDale","Fellows"
"276",21,1970,1869,9,2008,106000,483,483,"BrDale","Fellows"
"277",24,1970,2368,5,2009,125000,765,765,"BrDale","Fellows"
"278",24,1971,1920,8,2007,122500,765,765,"BrDale","Northwood"
"279",21,1971,1680,2,2010,96000,483,483,"BrDale","Northwood"
"280",21,1971,1680,4,2006,91500,672,672,"BrDale","Northwood"
"281",21,1971,1680,7,2008,85400,483,483,"BrDale","Fellows"
"282",21,1971,1680,5,2009,112000,630,630,"BrDale","Fellows"
"283",21,1971,1680,3,2010,105500,525,525,"BrDale","Fellows"
"284",21,1972,1680,5,2006,118000,672,672,"BrDale","Northwood"
"285",21,1971,1680,8,2008,89500,483,483,"BrDale","Northwood"
"286",21,1971,1680,3,2010,88000,525,525,"BrDale","Northwood"
"287",21,1972,1680,7,2006,89000,483,483,"BrDale","Fellows"
"288",21,1972,1680,10,2006,108000,525,525,"BrDale","Fellows"
"289",21,1972,1680,6,2006,94500,483,483,"BrDale","Fellows"
"290",21,1972,1680,7,2009,97000,483,483,"BrDale","Fellows"
"291",21,1972,1680,12,2008,111750,630,630,"BrDale","Fellows"
"292",21,1972,1680,5,2009,118000,483,483,"BrDale","Fellows"
"293",21,1972,1680,2,2009,119500,630,630,"BrDale","Fellows"
"294",NA,1976,4928,10,2009,143750,958,958,"NPkVill","Fellows"
"295",53,1975,4043,7,2006,146300,1069,1069,"NPkVill","Fellows"
"296",NA,1976,4928,2,2007,128000,1078,958,"NPkVill","Fellows"
"297",53,1977,4043,10,2008,140000,1069,1069,"NPkVill","Fellows"
"298",53,1977,4043,7,2010,127500,1069,1069,"NPkVill","Fellows"
"299",65,1967,7514,9,2006,145000,943,1387,"NAmes","Fellows"
"300",68,1967,7838,12,2006,123000,864,900,"NAmes","Fellows"
"301",24,1976,2308,7,2007,155000,804,804,"NPkVill","Northwood"
"302",24,1976,2308,9,2009,146000,804,804,"NPkVill","Northwood"
"303",24,1976,2280,7,2009,148500,855,855,"NPkVill","Northwood"
"304",24,1976,2280,4,2006,137500,1055,1055,"NPkVill","Northwood"
"305",24,1975,2280,6,2010,149900,855,855,"NPkVill","Northwood"
"306",24,1975,2280,8,2009,123000,1057,1055,"NPkVill","Northwood"
"307",24,1975,2280,6,2010,120000,836,836,"NPkVill","Northwood"
"308",24,1975,2308,5,2008,143000,855,855,"NPkVill","Northwood"
"309",24,1974,2308,6,2009,147000,855,855,"NPkVill","Northwood"
"310",24,1977,2529,9,2008,148500,1055,1055,"NPkVill","Northwood"
"311",24,1977,2349,5,2009,137900,855,855,"NPkVill","Northwood"
"312",24,1978,2280,7,2010,146000,855,855,"NPkVill","Northwood"
"313",24,1978,2304,4,2007,142500,1061,1055,"NPkVill","Northwood"
"314",24,1978,2364,7,2009,147000,804,804,"NPkVill","Northwood"
"315",24,1978,2289,4,2009,148500,855,855,"NPkVill","Northwood"
"316",24,1978,2364,4,2009,138000,855,855,"NPkVill","Northwood"
"317",24,1976,2104,10,2009,128500,836,836,"NPkVill","Northwood"
"318",24,1976,2179,7,2006,144000,855,855,"NPkVill","Northwood"
"319",65,1967,7150,7,2009,100000,892,892,"NAmes","Fellows"
"320",65,1966,7150,11,2007,129250,988,988,"NAmes","Fellows"
"321",NA,1966,9477,10,2008,110000,864,892,"NAmes","Fellows"
"322",NA,1966,10710,7,2009,148800,864,1120,"NAmes","Fellows"
"323",129,2004,16737,9,2006,315000,1980,1980,"NridgHt","High"
"324",96,2008,12444,11,2008,394617,1932,1932,"NridgHt","High"
"325",96,2006,12456,7,2009,337500,1700,1718,"NridgHt","High"
"326",96,2006,12469,8,2007,356000,1790,1816,"NridgHt","High"
"327",72,2006,16387,8,2006,412083,1738,1738,"NridgHt","High"
"328",90,2007,11694,7,2007,314813,1822,1828,"NridgHt","High"
"329",93,2007,12030,12,2007,318000,1694,1694,"NridgHt","High"
"330",96,2007,12474,8,2008,426000,1682,1742,"NridgHt","High"
"331",91,2006,11825,6,2007,322400,1694,1694,"NridgHt","High"
"332",93,2007,12085,11,2007,318000,1734,1734,"NridgHt","High"
"333",110,2007,14257,6,2009,462000,1776,1794,"NridgHt","High"
"334",110,2007,14333,11,2007,345474,2108,2122,"NridgHt","High"
"335",114,2007,14803,6,2008,385000,2078,2084,"NridgHt","High"
"336",104,2008,13518,7,2009,485000,1926,1966,"NridgHt","High"
"337",67,2008,14948,11,2008,446261,1452,1476,"NridgHt","High"
"338",111,2006,16259,9,2006,342643,1249,1249,"NridgHt","High"
"339",105,2008,15431,4,2009,555000,3094,2402,"NridgHt","High"
"340",107,2006,14450,5,2007,415298,2121,2121,"NridgHt","High"
"341",107,2007,13641,12,2007,492000,1934,1943,"NridgHt","High"
"342",110,2006,13440,3,2007,338931,1108,1148,"NridgHt","High"
"343",108,2006,13173,11,2009,325000,1652,1652,"NridgHt","High"
"344",105,2005,15431,8,2007,450000,1994,2046,"NridgHt","High"
"345",110,2004,16163,7,2006,252000,1618,1618,"NridgHt","High"
"346",110,2007,14230,7,2009,256300,1566,1600,"NridgHt","High"
"347",98,2008,12704,8,2009,253293,2042,2042,"NridgHt","High"
"348",95,2009,12350,7,2009,398800,1365,1365,"NridgHt","High"
"349",96,2008,11308,7,2009,335000,1104,1130,"NridgHt","High"
"350",102,2009,12858,1,2010,376162,1590,1627,"NridgHt","High"
"351",95,2008,12350,5,2009,404000,2020,2020,"NridgHt","High"
"352",94,2009,12220,9,2009,402861,2006,2020,"NridgHt","High"
"353",98,2007,12704,1,2008,317500,1582,1582,"NridgHt","High"
"354",109,2006,14154,8,2007,280000,1063,1071,"NridgHt","High"
"355",97,2008,13478,6,2009,451950,1722,1728,"NridgHt","High"
"356",105,2007,13693,3,2009,610000,2630,2674,"NridgHt","High"
"357",107,2007,13891,10,2007,479069,2552,2552,"NridgHt","High"
"358",107,2006,13891,9,2006,465000,2076,2076,"NridgHt","High"
"359",110,2006,14226,7,2007,395000,1935,1973,"NridgHt","High"
"360",107,2007,13891,1,2008,372402,1710,1710,"NridgHt","High"
"361",107,2008,13891,1,2009,582933,1734,1734,"NridgHt","High"
"362",105,2006,13693,3,2007,380000,2153,2069,"NridgHt","High"
"363",105,2007,13693,8,2008,417500,2418,2464,"NridgHt","High"
"364",108,2006,12228,9,2006,293000,1721,1740,"NridgHt","High"
"365",98,2007,11478,5,2010,306000,1704,1704,"NridgHt","High"
"366",95,2008,11578,7,2009,360000,1736,1736,"NridgHt","High"
"367",98,2006,11428,5,2007,250000,1626,1634,"NridgHt","High"
"368",120,2005,14780,6,2006,415000,1868,1868,"NridgHt","High"
"369",104,2007,14418,5,2008,383000,1950,1950,"NridgHt","High"
"370",110,2006,14977,7,2007,440000,1976,1976,"NridgHt","High"
"371",129,2004,16870,4,2009,296000,1782,1782,"NridgHt","High"
"372",98,2004,16033,3,2006,326000,1833,1850,"NridgHt","High"
"373",101,2005,14215,11,2006,325300,1158,1158,"NridgHt","High"
"374",108,2004,13418,9,2006,309000,1117,1132,"NridgHt","High"
"375",108,2006,13418,10,2008,390000,1850,1850,"NridgHt","High"
"376",118,2005,13654,5,2007,418000,1704,1722,"NridgHt","High"
"377",59,2007,17169,8,2007,500067,2320,2290,"NridgHt","High"
"378",59,2007,23303,6,2009,409900,1508,1508,"NridgHt","High"
"379",96,2005,12539,6,2008,460000,1620,1632,"NridgHt","High"
"380",120,2005,13975,8,2006,300000,1090,1117,"NridgHt","High"
"381",134,2007,16659,6,2007,260116,1582,1582,"NridgHt","High"
"382",87,2006,11146,7,2009,255500,1709,1717,"NridgHt","High"
